content,label
packing sama sekali gak ada dus+bubble...,Negative
"bahan bagus, kualitas bagus sesuai harga",Positive
bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Positive
Obengnya ngga bisa kepakai kualitas rendah,Negative
barang oke sesuai pesanan,Positive
kecewa tdk spt yg diharapkan basah semua keluar airnya meskipun udah diputer mulai dr yg plg kecil maupun yg besarrr,Negative
Bukunya cepet rontok lem nya ga kuat,Negative
"gps & adas gak berfungsi. jawaban penjual bertele2. 1,8 jt cm kamera biasa, mahal",Negative
"mantaap.. semoga awet, murah meriah, tp fungsi nya sangat mbantu sekali utk pekerjaan rumah, lbh irit pemakaian superpel jadi nya..",Positive
"Barang sudah diterima nih kak, makasih yaa",Positive
Bahannya adem.,Positive
KURANG MELAYANI,Negative
terbaiklah ini alat harga 51rb bisa dipakai berkali2. baru datang langsung tes dan waow mantab kali ini alat kecil cabe rawit.. aki cba cas 1jam aja langsung bisa stater motor tua saya... saya suka alat murah tp fungsinya good dah..,Positive
"Pegawai nya kurang fokus nih , pengiriman kurang satu bukunya , kirim lagi dengn nama yang lain lagi",Negative
"sebenernya kualitasnya oke sih, tp nggak bisa masuk ke kamera yg biasanya pake phantom power.",Negative
Barang jelek sesuai harga,Negative
"Barang penyok Gaes. Klo dari ekspedisi, kardus harusnya rusak, nah ini kardusnya tebal dan masih mulus. Returan sy dari toko sebelah dibalikin lewat Toped. Mana bohong lagi, foto yg dikirim ke tokopedia care bukan foto paket saya. Untung asuransi mau terima claim. Jadi hati2 Gaes! Nutrilon sudah mulai tidak AMANAH!",Negative
"Product sesuai deskripsi, packing rapih. Beneran fast charging ! Terima Kasih baseus !",Positive
"QC oh QC .. lensa dalamnya pecah katnya udah Cek QC, picking asal padahal udah nambah buble wrap. perbaiki pelayanan..!",Negative
cukup ok,Positive
"mengecewakan tidak sesuai diskripsi panjangnya ternyata 30cm, di diskripsi 38-40cm, pesan 3 ps semuanya panjangnya 30 cm, ajuin komplain malah rugi di ongkir. Sial deh ??",Negative
"pengirimannya lama banget.. pesen dr tgl 18, sampai tgl 23 blm dikirim2 juga... jd sy ajukan komplain ke toped, abis itu baru barangnya dikirim. sempet kecewa sih, secara sy pesan di official storenya gitu, tp service masih spt ini ??",Negative
"Barang cpt sampe, sesuai pesanan. Packingnya rapi. Respon seller??",Positive
"sdh 2 tahun berlangganan memakai cat sablon ini..hasil ajib,seller nya juga ajib",Positive
sempurnaaaaaaaaaaaaaaaaaaaaaaaaaaa,Positive
"bagus produknya, enak marumiya rice topping furikake nya, bisa juga untuk bubur, harga terjangkau, recommended",Positive
LENGKAP BAGUS PENGIRIMAN CEPAT DAN TEPAT TERPERCAYAA NOMOR 1 SEINDONESIA,Positive
bahan tebal dan nyaman di pakai,Positive
"kecewa, keterangannya 90 yard tapi yang datang 72 yard",Negative
"barangnya tidak berfungsi, boxnya sudah kebuka",Negative
Barangnya lumayan bagus hanya saja kurang bass nya,Positive
"barang sesuai, bagus dan cepat sampai",Positive
"Setelah pake masker nya kulit merasa alergi, ampe kemerahan lalu membengkak. Saya bingung harus gimana",Negative
"gak bersegel. di packing luar dan dalam produk nya tidak bersegel. info dari admin seller setelah chat, produk memang tidak bersegel dan info nya di klaim oleh admin penjual original,, agar di cantum kan di deskripsi agar pembeli jadi tau, dan layak jadi pilihan atau tidak nya untuk di kulit wajah nya.",Negative
bagus sangat cepat sampai..barang juga daster bali adem di pakainya ..barang sesuai keinginan ..terimakasih tokopedia,Positive
"Ga ada kartu garansi, alasannya kalo resmi ga ada kartu garansinya. Aduh boong bgt temen saya sales samsung dan ttp ada. Dari awal dus udah letoy bgt dan robek2. Ini bukan krn kurir, soalnya logika aja bubble wrap tebel kok dus robek sedangkan bubble wrap ga robek sama sekali. Ga ada headset, casan ga di plastik, kertas bawaan semua cuma pake kertas tipis kaya hvs glossy. Bener2 kaya kotak bikina sendiri. Saya udah chat penjual jg ga ada penyelesaian. HPnya sih ga ada lecet baret atau apapun. Smoga awet dan bener asli",Negative
"sampe sekarang barang blm sampe,halu express blgnya sudah mau tanggung jwb dg membayar ke tokopedia tp dr tokopedia ga ada transfer penggantian...ga ada yg tanggung jawab",Negative
"packing kurang baik untuk silica gel, hanya dibungkus plastik dan plastiknya di hekter, sehingga udara bisa keluar masuk, mestinya di seal supaya kedap udar",Negative
Barang sesuai pesanan. Namun utk saya pilih XL agak kegedean. Mungkin lebih tepatnya L.,Positive
"Produk tidak ORI (KW),tidak bekerja dengan baik.dikirim 2 PGP tidak bekerja di 2 hp saya Lenovo n Advan.Cuma jadi bangkai.After sales buruk,Respon seller kurang.no recommended.",Negative
"barang tidak sesuai gambar,mengecewakan",Negative
Bahan bagus dengan harga terjangkau,Positive
"bener-bener sesuai ekspektasi sih, auto belajar Triumph ??",Positive
lubang hangtag tidak rapih,Negative
"Barangnya saya terima dalam keadaan pecah di bagian sudut, padahal posisi itu dilapis gabus pelindungnya loh.. Jadi saya berasumsi kalau barangnya memang sudah pecah dari sebelum dikirim, bukan saat ekspedisi. Sayang lupa videokan saat unboxing.",Negative
"Udh lama gak makan. Kali ini bnykan sounnya. Daging ayamnya lmyn gak kliatan. Sambel ttp enak. Pcking aman, respon cepat.",Positive
"sesuai dengan harga. kualitas sangat buruk. pas saya colok ke komputer saya terus colokin headphone jack ke port headphone jack di usb nya saya punya headset nyala yang kanan doang, headset saya pas dicolokin di hedphone jack biasa dua dua nya nyala. kualitas mic juga sangat buruk. bener bener jangan beli. beli vention sound card aja kualitas lebih bagus tapi lebih mahal sedikit. apalagi tidak sesuai dengan foto keliatan lebih murah. aduh saya ilang 20 ribuan untuk ini. ??",Negative
Ada garansi resmi. Barangnya original ??. Baterai awet. Fitur mudah digunakan. Penjualnya ramah banget.,Positive
"whiteboard melengkung, alumunium bengkok, skrup hilang, mutu rendah sekali, jauh dari gambar & deskripsi",Negative
"respon cepat pengiriman cepat, sampai dengan baik dan bisa dimainkan",Positive
Sesuai deskripsi tapi pemrosesan untuk dikirim lama,Positive
ga sesuai gambar d kirain kayu tau2 hanya kardus,Negative
"parahhhhh kecewa bgt bilang bahan yg tebel tpi datang tipis murahan, mana pesanan di kali 4 nilainya hasilnya jelek bgtttt, jgn mau pesen di toko ini parah bgtttttttttttttttttttttttttttttttttt",Negative
Kartu nya lengkap. Harga Kompetitif. Seru bgt game nya!.,Positive
Mantapppp.Build qualitynya josss Pertahankan,Positive
"nipu,ini mah bukan 90 yard wkwkwk kaco",Negative
"Lama sekali sampainya, pesan rabu baru hari senin sampai",Negative
"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",Negative
SABUN NYAAA SETELAH DI PAKEE MINT NYA KERASAA BANGETTT ENK SIH HABIS MANDI KYK DINGIN GITU,Positive
"Respons cepat, barang OK semua. Terimakasih seller dan toped.",Positive
Bahannya adem. Jahitan rapi. Tidak menerawang. Mudah dibentuk. Warnanya cantik ??. Nyaman dipakai.,Positive
selangnya robek. tasnya jg robel di sudut,Negative
Keren Banget Sempurna,Positive
"pengiriman cepat, packing rapi dan aman, jumlah sesuai dgn yg diorder. terimakasih seller",Positive
spray tdk sesuai gambar..semprotannya spt mainan pistol anak2 aja,Negative
ternyata sablonnya tidak sesuai dengan gambar huhu,Negative
