reviewContent,label,rating
bagus  mantap deh sesui pesanan,positive,5
"Bagus, sesuai foto",positive,4
ok mantaaaaaaap ... goood,positive,5
bagus sesuai,positive,4
bima,negative,1
baru 10 bulan layarnya deh bergaris,negative,1
"Pesan rabu sore,minggu sore sampai,,barang sesuai specs mantab,tks lazada",positive,5
"Mau tanya ini cicilnya pakai apa ya,c bukan?",negative,1
Apakah TV. tersebut. sudah ada anti gores..,positive,5
Pengirim barang tidak sesuai janji. Katanya expres 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,negative,1
Kualitas ok,positive,4
"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bulan kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, sok,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",negative,1
Pengiriman super lama.. tapi datang juga sih,negative,3
ok barang sampai dengan Baik.. semoga terus di pertahankan...,positive,5
Kalau mau cicilan bagaimana cra nya??,positive,5
barang sudah sampai dan bagus thanks lazada,positive,5
Pengiriman cepat sipplah.......,positive,5
sampai Sekarang masih Ok ini laptop...,positive,5
Pengiriman cepat..  Packaging good..  Barang oke. Thnks seller Thnks Lazada,positive,5
"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",positive,5
"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam sudah sampai + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",positive,5
belum test barangnya,positive,4
Sudah cape2 transfer tapi pesanan ditolak,negative,1
"Barang Ok, kualitas bagus dengan harga yang cukup miring, kualitas gambar juga ok, pengiriman lumayan, enggak menyesal pokoknya beli TV ini",positive,5
Saya minat tapi kalau dikirim ke Gresik Jawa Timur bisa enggak? kalo dari info pengiriman bebas tapi takut enggak sampai.. Dan tanya apa ini sudah ful HD apa belum? Terima kasih,positive,5
pengin tivinya,positive,4
Mantap barang nya,positive,5
Barang mulus mantap,negative,3
"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu memang intel core i5 atau salah buat? Di judul dikatakan core i7",negative,1
"Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di instal sendiri windows nya. Overal, itu'si worth the money.",positive,5
Barang sampai 2 hari dengan selamat dan sesuai deskripsi,positive,5
Harga sangat murah mantap banget,positive,5
Murah banget itu enga salah kasih harga tau-tau nati salah kasih info barang nya,negative,3
Barang sudah sampai tapi pas dinyalain enggak bisa. bagaimana pertanggung jawaban lazada?,negative,1
kalo dp1jt tanpa kartu kredit bisa enggak? berapa bulan pembayarannya dan sebulannya berapa? -TerimaKsh,positive,4
untuk pemasangan di tembok apa ada pihak dari lazada yang memasang'a ? terima kasih,negative,1
"Kapasitas HD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",positive,5
barang sesuai dengan gambar,positive,5
