reviewContent,label,rating
kualitas gambar & suaranya mantap..,positive,5
"flashdisknya payah. buat simpan data enggak bisam disimpan ,pas mau dibuka file nya pada hilang.  !wajah_menangis_keras!!wajah_menangis_keras! kecewa lah.",negative,1
barang bagus..terima kasih lasada,positive,5
Keren Mantab Jos,positive,5
"hd rusak enggak bisa dipakai, lebih ditingkatkan lagi quality controlnya sebelum bareng dikrm.",negative,1
mantab.. tanpa basa basi langsung order dan 2 hari sudah sampai. thanks,positive,5
"mantap...barang mendarat dengan selamat walau hanya packing bubble wrap tapi para kurir ninja sangat profesional dalam pananganan pengirimannya, jadi aman. produk sudah di cek mulus lus..semua berfungsi dengan baik. satu lagi admin sellernya benar-benar fast respon dan semoga tetap dipertahankan performanya. maaf lupa foto sudah ter packing rapi jadi malas bongkar lagi. terima kasih cooca dan lazada, ditunggu brand super sale berikutnya !wajah_dengan_mata_berbentuk_bintang!!wajah_dengan_mata_berbentuk_bintang!",positive,5
"Barang orisinal, bisa YouTube, tapi belum bisa smbungin dari hp ke tv nya, bagaimana ya itu caranya? sempat bisa ,cuma enggak bisa lagi pas dicoba , coba kasih petunjuknya bagaimana caranya",positive,5
harga promo dan kualitas bagus.. thanks lazada dan cooca..,positive,5
good. really nice and fast order,positive,5
"Di deskripsi produk tertulis input type : USB Ternyata barang nya tidak support USB, saya coba return kalo ada yang mau beli produk ini, silakan bayar saja punya saya no. hp 087888985338",negative,1
"pengiriman cepat, kemasan paket sangat memuaskan, barang orisinal. semoga awet",positive,5
alhamdulilah sampai dengan selamat terimakasih,positive,5
barang sesuai yang di harapkan terima kasih,positive,5
sukses lazada,negative,3
"Bagus sekali..... barangnya orisinal lagi, cuman pas aku cek di macbook di infonya katanya flashdisk ini dibuat 01 januari 1980 jam 12 malam aku bingung... tapi enggak papa sih menurutku worth itu.. thx lazada",positive,5
"pengiriman super cepat, barang belum dicoba, tapi sepertinya ok. packing rapi. recommended seller !wajah_tersenyum_dengan_mata_bahagia!",positive,5
Barang saya masih belum sampai. Saya order tanggal 6 juni. tanggal penerimaan 14-17 juni. Sampai saat ini masih belum saya terima barangnya. Nomer resi yang saya terima di email MPDS-3821441892-1641. Setelah saya cek tidak bisa. Mohon infonya. Thx,negative,2
Pengiriman cepat. Produk bagus. Recomended buat teman-teman...,positive,5
Tidak berfungsi,positive,4
barang sampai dengan cepat dan lengkap sesuai dengan deskripsi.,positive,5
"Baru dilihat kapasitasnya apakah real atau tidak, lumayan mendekati real dari 32 gb space kosong yang tersedia hanya 28 gb. Tapi yang membuat kecewa adalah, warnanya yang tidak sesuai. Bisa dilihat pesannya warna apa, tapi yang dikirim warna apa..Sudah ada jelas pilihannya, seharusnya tidak terjadi hal ini.",negative,3
produk yang diterima tidak sesuai.. sellernya salah kirim barang,negative,1
"Barang datang sesuai dengan tanggal yang di tentukan, barang baru, bagus mulus, semoga awet, thank lazada",positive,5
"anjrit, saya ada voucher 30jtan ke klik beli 1 unit. sampai sekarang dana saya belum di kembalikan hati-hati yang mau belanja di lazada.",negative,1
"packing rapi, tapi barangnya agak cacat bagian ujung flashdisk kebuka. semoga saja ini awet",negative,2
barang sudah sampai dengan selamat dan sudah di tes.,positive,5
"alhamdulillah tv ya datang dengan normal tapi agak kecewa karena segel garansi cooca ya sudah rusak,,nanti bisa claim garansi apa enggak kalo segel ya rusak?",negative,3
kak kok enggak kepakai semua baru 12 gb saja semua nya ke hapus otomatis...,negative,1
Habis di Format enggak kedeteksi tapi hardisk nya nyala..bagaimana dengan garansinya?,negative,3
"Mas/mbak/koh/ci ini USB kenapa enggak bisa ke detect ya di hp?..saya mau return nih barang. Kecewa saya beli, padahal saya sering belanja di lazada,  tapi kali ini saya kecewa. Tolong bagaimana caranya supaya saya bisa return nih barang. Mohon penjelasannya.",negative,1
"ini isi flesdisnya, bisakah dikembalikan?",negative,1
Sesuai pesanan...lumayan .,negative,3
Packing aman.. barang berfungsi dengan baik.. tidak ada bad sector.. terima kasih..,positive,5
bagus dan sesuai .. cepat pengirimannya,positive,5
"Walaupun pengirimnya lama,  tapi.. anak saya suka banget",positive,5
"Halo semua ,ada yang mengalami kendala yang sama dengan saya kah? Aplikasi Cooca store tidak dapat dibuka tampilannya hanya loading saja, sudah hubungi melalui layanan chat disarankan hubungi cal center cooca , di telp enggak pernah ada yang angkat dan di WA hanya balas akan ditanyakan ke tim tekhnisi yang sudah hampir 1 minggu enggak ada update , di WA kembali enggak pernah balas",negative,1
"pengiriman cepat, pesan kamis malam hari minggu sampai sudah sampai",positive,5
"barang sudah sampai,, lumayan lama,, suara penyanyi enggak bisa hilang enggak bisa dipakai buat karaoke,",negative,1
"Pengiriman lumayan cepat n barang sudah dicoba n berfungsi baik, semoga awet, terima kasih....",positive,5
"ok barang sudah mendarat dan diterima ,bagus",positive,5
Barangnya bagus. mudah-mudahan awet,positive,5
"Barang bagus, pengiriman cepat, packing bagus.",positive,5
enggak ada bracketnya ...,negative,2
"pesanan tv saya sudah datng, tapi kok enggak dapat kartu garansi, jadi kalo mau claim garansinya bagaimana nih?sama",negative,3
Produk tidak disertai Kartu Garansi. Invoice tidak menyatakan bahwa produk ini bergaransi,negative,1
enggak mau kasih bintang...barangnya enggak sesuai..tertulis 8 giga nyatanya baru di isi 3 lagu sudah penuh dan enggak ke baca ..kecewa malas deh.,negative,1
Bisa kiri. Ke kota blitar tidak?!,negative,1
"Packing bagus dan barang original Proses copy cepat. Cocok untuk tape mobil, tidak perlu takut kesenggol Praktis lah pokoknya.",positive,5
barang sudah sampai sesuai jadwal ke lampung dan dalam kondisi baik..terimakasih,positive,5
"Mantap banget TVnya sesuai pesanan. Packingan aman, bayar dengan COD tapi pengiriman cepat banget!nilai_seratus!!wajah_tersenyum_lebar_bermata_hati!!wajah_tersenyum_lebar_bermata_hati!",positive,5
mntap pngiriman cpat semoga awet flashdisknya,positive,5
ukurannya pas.. berfungsi baik..,positive,5
Masih yakin mau beli?? buang2 duit gan..,negative,1
"Katanya Barang pesanan sampai dalam waktu 4 hari, tapi sudah seminggu brng belum sampai. Memang prosedur pengiriman Ke Majalengka berapa lama?",negative,1
kurirnya dikasih kelebihan uang main pergi saja...bukannya kasih tau kalo salah pembayaran...tagihan 1339 dikasih 1400 malah langsung pergi...yang kasih uang salah bayar uangnya,negative,1
Tidak bisa dipakai. Mengcewakan!!!,negative,1
Kalau beli disini jangan lebih dari satu pasti menyesal sebab pasti' dkirim cuma satu,negative,1
"mantap barangnya,  puas...",positive,5
standard saja kuaitasnya,negative,3
menyesal se menyesal nyeselnya barangnya jelek datengnya lama lama banget tidak sesuai tglnya penjual juga tidak bertanggung jawab enggak ada respon sama sekali dari toko menyesal banget,negative,1
"Barang sudah sampai, respon cepat setelah pembayaran. belum dipasang semoga tidak bermasalah karena packing hanya pakai bubble wrap",positive,5
Kecewa belinya.. File dimasukkan error,negative,1
"barang sesuai, tapi lama sampainya dan anehnya ada lecet di fdnya",negative,3
"Pesanan datang tepat waktu, kualitas no. 1...mantab....",positive,4
ada lecet bagian silvernya. market storenya enggak isa acces,negative,1
"Uangnya sudah di transfer , stlah itu dbatalin karena stock tidak ada.. dari harbolnas sampai tanggal 22 des 2017 belum ada pengembalian uang. sudah 10 hari dan asli prosesnya ribed ... kaco !!!",negative,1
Ini sudah bisa USB movei belum ya?,negative,2
"Pelayanan cukup memuaskan,paking rapi dan tv led bagus tak ada kendala ,cuma saya pengin tahu apa tv led phllips 32""32 pha 4100 ini sudah terdaftar garansinya... Terima kasih lazada ....... Saya sangat senang sistem bayar di tempat ini",positive,5
barang benar-benar Original,positive,5
"Kok belum sampai ya, estimasi sampainya rabu atau kamis minggu lalu.. dan nomor resi yang dikirim salah alias tidak ditemukan ketika di cek.. lumayan kecewa dengan pelayanan kali ini.. tolong seller batalkan pesanan ini, uangnya mau buat beli di lapak lain..",negative,1
Barang bagus.. ok rapi...sayang pengiriman agak ngaret enggak sesuai batas max yang mereka tentukan sendiri...tolong perbaiki lagi waktu pengirimanya ya? Thanks lazada,negative,3
"telat review,,, mantap deh pokoke,,!wajah_gembira_dengan_mata_bahagia!!wajah_gembira_dengan_mata_bahagia!!wajah_menjulurkan_lidah_dan_mengedipkan_mata!",positive,5
"barang sesuai pesanan, cepat buat copy file film cuma sayang barangnya terlalu kecil gampang keselip",positive,5
Mohon maaf ini saya mau complain kemana ya? Kok mau kirim pesan ke toko susah banget dicari enggak ada di aplikasi nya,negative,1
mntaaap,positive,5
"dalam segi pengepakan sangat bagus, VVIP. Kalau kuallitas bareng orisinal enggak tau kalau ketahan karena TV baru pertama pakai merek cooca, ongkir sangat murah walau 10 hari baru sampai mungkin jauh ke sumatra.rekom",positive,5
paking rapi pengiriman cepat aman sampai tujuan dicoba langsung top cer.....mantuuuul,positive,5
"Terimakasih gan, barangnya sesuai dengan recommended. dan terbaca",positive,4
bareng Ok,positive,5
Batre nya kok cepat habis? Jika sambil di charge nyterum? pemasangan nya enggak rapi ya? Belum saya cek semua semoga kagak lemod,negative,2
"Terimakasih lazada barang sudah sampai 2 hari sampai,tapi apa dikata saya kecewa tv led philips 32 inc layarnya retak kayak kegencet,padahal dus nya ok rapi tidak penyok,saya meminta ganti yang bagus,jangan kecewakan konsumen..bagaimana nih saya harus hubungan siapa??",negative,1
"pengiriman cepat,bareng lumayan bagus cuma gambar nya kurang tajam/jernih,",negative,3
kalo cicilan musti punya kartu kredit gan semoga bermanfaat.,positive,5
"Paketan dan barang nya bagus ,  tetapi case yang di kasih tidak bisa digunakan untuk hd tersebut (tidak muat) , tapi lumayan lah . dan untuk kurir LEX.id saya sangat kecewa karena telat dan berbelit-belit",positive,4
"barang tidak bagus, tidak sesuai dengan kapasitas. sangat mengecewakan",negative,1
"Packing nya rapi, pengiriman cepat, tapi yang itu packing kayu nya lama amat ya seminggu lebih tapi tidak apa² karena TV nya mendarat dengan selamat... Semoga awet amin..",positive,5
"flashdisk tidak bisa untuk save data, maaf tidak recomended banget, untuk save foto dan film bisa, tapi untuk save yang lain tidak bisa, kecewa....",negative,1
barang corup,negative,1
Alhamdulillah paket sampai dengan selamat,positive,5
"Langsung Colok ... jreng ... mantap ... Thanks Al-Fathir, very recomended seller",positive,5
MSD 64 GB BAGUS,positive,5
ini baru dibeli sering mati mati begitu...dimana di medan Service centernya,negative,1
"pesan kemarin, hari ini langsung datang.. recommended banget.. belum di coba.. moga awet.. cuman kurirnya kurang senyum..belum sarapan kali ya",positive,4
"barang di terima dengan baik n bagus..kurir ramah banget, semoga selalu sukses terus...!wajah_tersenyum_dengan_mata_bahagia!oke",positive,5
flash disk nya kurang bagus..,negative,3
Pengiriman lama,positive,5
bagus..murah,positive,5
Barang sudah diterima dan dicoba...Ok Gan...Tks Lazada,positive,5
belum di pakai. tapi mudah-mudahan lancar. thxs lazada,positive,5
rekomendasi banget nih,positive,5
"Barang diterima baik, working, cuman layarnya saja ada goresan dikit tapi enggak menganggu. Overal recomended banget",positive,5
"apaan flashdisk dari hongkong? ini namanya flashdisk?  pesan 1 flashdisk sama mainan kok dikirim mainan semua, mana sama lagi !wajah_tanpa_ekspresi! mau dipakai flashdisk nya, mohon pertanggung jawaban nya!",negative,1
"iya nama.a juga harga murah ya produk.a juga ya murahan enggak mau sama sekali barang.a,rugi beli.a lain kali kalo dagang yang jujur jangan jual barang rusak.",negative,1
barang berfungsi dengan sangat baik...!jempol_ke_atas!!jempol_ke_atas!!jempol_ke_atas!!jempol_ke_atas!!jempol_ke_atas!,positive,5
setelah menunggu 8 hari akhirnya sampai juga.,negative,3
"mantap bareng nya!!! mulus banget, kurirnya juga ramah. mantap pokoknya",positive,4
cepat rusak,negative,1
"mantap...sesuai pesanan. Terus pertahankan service lazada, thanks.",positive,5
"barang datang sesuai harapan, gambar dan suaranya mantul, channelnya pun banyak, youtube nya juga lancar meskipun teatring dari hp. semoga kuat dan tahan lama",positive,5
mantab,positive,5
"sudah 1 minggu order laptop lewat cicilan bank..enggak masuk"" order barangny,padahal sudah sesuai petunjuk,,tolong bagaimana solusiny ?",negative,1
Barangnya bagus Lumayan bisa buat menyimpan data banyak. thx,positive,5
dagang ini PENIPU! bilangnya USB 3.0 tau-tau yang datang USB 2.0! harganya mahal lagi!,negative,1
"Saya sudah.sering belanja di Lazada, dan terakhir saya mencoba.membeli eksternal hard disk 1 T, dan hasilnya, sisi pengiriman sangat memuaskan, cepat dan aman. Produknya saya sangat bersyukur berkualitas walaupun harganya relarif lebih murah namun bukan.berarti kualitas murahan , tapi kualitasnya bermutu Trm.kasih Lazada, semoga semakin berkualitas",positive,5
Murah dan bagus,positive,4
bagus.. murah terimakasih. berfungsi dengan baik harga diskon moga awet,positive,5
"lucu imut seperti gambar, packing rapi, berfungsi dengan baik.",positive,4
"tepat waktu , dan barang sampai dengan selamat. semoga aweet dah sudah di cek ya cuma dapat 29GB enggak apa-apa dah laumayan dengan harga terjangkau",positive,4
"Walapun pengirimannya agak lama karena dari luar negeri barang akhirnya tiba dengan selamat dengan kondisi baik. Packing lumayan rapi, recommended seller!",positive,5
ini bagaimana cara sambunginnya kok saya pasang kok tidak masuk masuk kenapaya,negative,1
mantap.. aman .... tidak ada keraguan,positive,5
Apakah real capacity 64GB? berani tes dengan h2tes untuk tes capacity?,negative,2
Buat hp asus zenfone max bisa enggak gan,negative,1
Cacat.,negative,1
suara cempreng dan volume harus besar baru kedengaran. enggak semua film kebaca di hd external. ada yang gmbr bisa suara enggak.,negative,3
ini pembelian kedua saya produk cooca saya kecewa dengan pesanan kedua saya. terdapat cacat dilayar.. sayang tidak bisa tukar barang... mau clime garansi jadi malas..,negative,3
bagus tapi jaringannya ternyata 3g,positive,5
Barang tidak bisa di pakai jangan di jual,negative,1
"Kalau diperhatikan sepertinya ini bukan original, soalnya bahannya beda dengan yang benar-benar original. Tapi kualitas produk baik, belum dicoba apakah kapasitasnya bisa sampai penuh atau tidak.",positive,4
"TV mantap,  pengiriman cepat sekali cuma catchplay, hooq, iflixnya kok enggak bisa ya?  bagaimana cara settingnya? download terus enggak selesai padahal sudah konek wifi",negative,3
Barang yang dikirim ternyata kau.... kecewa,negative,1
barang sudah sampai thks Lazada belum dicoba sih semoga bagus,negative,3
"saya beli 2 kali, yang pertama saya kira bagus, ternyata setelah satu hari langsung meminta format,... enggak tau nih, nasib fd yang ke 2,... Tertipu Dengan Barang Murah",negative,1
Yang hitam Pacarku yang pertama,positive,5
Lumayan lah untuk harga segini. Sayang ngebaca hd 700gb lemot euy,negative,3
"sudah 2 minggu pesanan belum datang juga? bagaimana ini lazada, padahal belum pernah kecewa belanja di lazada.",negative,1
"Barang kualitas bagus, pengiriman sesuai jadwal... Semoga awet",positive,5
Alhamdulillah barang sampai dengan selamat...maaf enggak nyertai foto nya karena lagi kerja siang...mantap banget TV nya nyala dengan sempurna...dapat flash sale juga...,positive,5
Mantap kali..lah,positive,5
Barang sudah terima dalam kondisi baik dan sesuai deskripsi.,positive,5
"KECEPATAN pengiriman MANTAP, kirim ke Mojosari kab.Mojokerto- jawa timur cuma 2hari, TV.nya juga sangat bagus,",positive,5
"Barang sesuai gambar,tapi kecepatannya tidak stabil",negative,3
sayang masih kosong lom di instal officenya. Downloadnya ribet. terima kasih ya,negative,1
trimakasih lazadah selama belanja di lazadah enggak pernah kecewa !jempol_ke_atas!!jempol_ke_atas!!jempol_ke_atas!mantap deh pokok nya,positive,5
barang deh sampai.....berfungsi..enggak dah cacat.....pengirimannya juga lebih cepat dari perkiraan...!!!!,positive,5
"Hardisk sedang di tes cuma kemarin saya beli dvd, sampai di kampung enggak bisa mbaca kaset",positive,5
"barang mantab, harga bersaing, deh dapat tv android, semoga kualitas skelas tv tv branded",positive,5
"paket sudah kami terima, tapi voucher enggak ada .. mohon info nya",positive,4
"Datang dalam keadaan cuma pakai bubble wrap selapis tanpa packing kayu, sempat khawatir karena beda pulau (kaltim) utgnya buka dus semua normal. Fre backet itu omong kosong, kalau harga tanpa promo gratis bracket 99rb harga (1,699), kalau lagi promo potongan 100rb harga jadi (1,599) tapi fre bracket di hapus sama saja bohong wkwkwkwk. Dolby Audio sprtinya cuma gimmick, audio cuma bisa mono doang. sudah coba cari settingan agar bisa stereo enggak ada, di manual book juga enggak ada. Speaker tv bawaan suaranya enggak bagus, harus pakein speaker eksternal atau soundbar biar suaranya lumayan enak. Kejernihan layar masih jauh dari tv merk jepang. ya, ada harga ada rupa. enggak usah trllu berharap banyak, tv sampai dengan selamat saja sudah syukur !wajah_gembira_dengan_mata_bahagia!",negative,3
Barang nya sesuai dengan yang di pesan dan bisa langsung di gunakan... packingnya bagus.... tapi datang nya telat dari jadwal.. pesan tanggal 13 harusnya datang tanggal 20 tapi baru sampai tanggal 22... pengirimannya dari batam...,positive,4
Hanya kecewa di pengiriman saja telat..,negative,1
"Barang murah meriah dan cepat sampai top markotop, and quality no.1",positive,5
Product sesuai ekspestasi. Recommended !jempol_ke_atas!!jempol_ke_atas!!jempol_ke_atas!,positive,5
pesan 2 yang dikirim 1 terus bayarx tetap 2 bagai mana ini!wajah_sangat_marah! saya tidk iklaskan dunia akhirat,negative,1
mantul lah ini sd card nya,positive,5
Sangat cepat pengirimannya.. Bonusnya pun enggak ketinggalan..,positive,5
"Mengecewakan, saya order nano tapi micro tapi yang dikirim nano tapi nano",negative,1
..........................,positive,5
"terima kasih lazada,sinar agung electronik store,barang nya bagus dan cepat prngirimanny v lama di saja&t nya harus ambil ke gudang saja&t nya sendiri untungny saja&t nya dekat rumah.",positive,5
"P E N I P lu A N!!!!!kapasitas barang enggak sesuai dengan deskripsi,barang yang saya terima kapasitasnya kurang dari 2GB(1,87GB)padahal yang dijual kapasitasnya 64GB,,, jadi malas belanja di lazada banyak penipunya,,KAMPRET",negative,1
barang oke banget original packing rapi sampai dengan aman harganya apalagi murah banget dpet potongan diskon lagi,positive,5
"barang mantap murah dan di jamin original , pengiriman sangat cepat karena mungkin jarak yang tidak terlalu jauh , pesan jam 11 siang sampai jam 5 sore , harga murah dengan kualitas barang yang bagus",positive,5
"Bagus banget, sudah support digital channel dan fitur smart tv lainnya",positive,5
kalau cicilan langsung enggak pakai krt kredit bagaimana ya?,negative,1
"barang sangat luar biasa, saking luarbiasanya sampai sekarang enggak sampai..seminggu sudah... mantaf",negative,2
Kenapa belum di selesai ini penggiriman ya pak...,positive,4
baranganya bagus harga nya murah dan cepat sampai lengkap. terima kasih,positive,5
bosok,negative,1
"Sayang sekali tidak bisa USB movie. Ada lobang usb, tapi hanya petigas service yang boleh. Begitu penjelasa n di buku petunjuk. Setelah dicoba, memang tidak support. Agak sedikit mengecewakan saya rasa, sementara di judul USB TV.  Padahal keluaran baru. Sedangkan TV2 jadul saja, keluaran 5 tahun lalu, sudah sertakan fitur itu...  Untuk yang mau order, pikir2 dulu lah...",negative,3
"alhamdulillah berfungsi dengan baik, terimakasih lazada",positive,5
"ukuran nya gede 45"". produk sesuai judul,  barang baru (dari bau nya) isolasi juga masih utuh.  produk made ini malaysia.  dah dvb t2, tuner tv digital (bisa nangkep 18 ch,  bekasi)  kenapa memilih sharp,  karena sudah punya sharp lcd 32, dari 2011 masih ok, n memang pengin yang gede pas lazada ada promo ultah, lebih hemat sih kalo di compare toko di mall2 input2 ada di samping kiri n tombol juga coba usb (micro usb dengan card reader) bisa untuk video music gambar (perlu dipilih dulu), lumayan cepat tuh detect nya. suaranya enggak bisa kecil pelan, vol 1 dah lumayan,  kalo bisa lebi pelan, berguna kalo malam. speaker ada di samping kiri kanan madep bawah. fitur2 std lah,  cukup lah enggak neko-neko.",positive,5
