text,text_preprocessed,label
barang sesuai deskripsi pengiriman cepat seller responship dan ramahterimakasih seller dan tokopedia,barang sesuai deskripsi kirim cepat seller responship ramahterimakasih seller tokopedia,positive
Barangnya gk berfungsi semestinya,barang gk fungsi mesti,negative
Buku yang sampai Warna kertas agak Kuning kaya kertas buram.,buku warna kertas kuning kaya kertas buram,negative
"mantabbbb, barang bagus dan berkuslitass.. topp dahhh",mantabbbb barang bagus berkuslitass topp dahhh,positive
Selangnya longar untuk pianika yamaha original. Jadinya gak bisa dipake.,selang longar pianika yamaha original dipake,negative
udah order buble tapi Buble nya gk ada . untung gk kenapa2,udah order buble buble gk untung gk kenapa2,negative
"Review jujur ya. Yg kasih bintang 5 mungkin biar masih dpt garansi kali ya. Buku nya fotokopian nya gk bagus. Dapet cd begini lagi. Kalo mau sekedar ambil buku cliff boleh lah, tapi kalo buat kenyamanan baca mending cari yg lain.",review jujur kasih bintang biar dpt garansi kali buku fotokopi gk bagus dapet cd dar ambil buku cliff nyaman baca mending cari,negative
bagus banget mainan nya anak2 aku suka,bagus banget main anak2 suka,positive
barang tidak berfungsi/tidak bisa jalan.,barang berfungsitidak jalan,negative
pelayanan memuaskan dan barang sesuai ??,layan muas barang sesuai,positive
ujung buku rusak.. padahal sudah mahal beli buku import,ujung buku rusak mahal beli buku import,negative
sangat kecewa banget,kecewa banget,negative
ternyata lem pipa. tidak begitu rekat ngelem sepatu. sangat kecewa,lem pipa rekat ngelem sepatu kecewa,negative
"Minta Black dikirim Transparent Black kecewa banget gasuka warnanya, lain kali e-commercenya teliti dalam menanggapi costumer",black kirim transparent black kecewa banget gasuka warna kali ecommercenya teliti tanggap costumer,negative
Kualitas bahan bagus. kelengkapan sesuai. Packing Bagus. seller sangat fast respon. recomended.,kualitas bahan bagus lengkap sesuai packing bagus seller fast respon recomended,positive
"produk sudah di Terima dgn baik, exp aman masih jauh. thx soho",produk terima exp aman thx soho,positive
"jelak.. ada yg patah, pedang pada meletot semua, apa lagi warna ya ada yg salah.. fatal",jelak patah pedang meletot warna salah fatal,negative
saya kira dapet lengkap kurang ternyata apa solusinya?,dapet lengkap solusi,negative
"Beli 6 cuma dikirim 5, males complain ??",beli kirim males complain,negative
Harga mahal dan ga sesuai ekspetasi. Cat ga rapih dan bahan kyk plastik murahan,harga mahal sesuai ekspetasi cat rapih bahan kyk plastik murah,negative
"beli 2 SSD, 1 diterima dalam kondisi rusak",beli ssd terima kondisi rusak,negative
"Nyaman, ga licin, mantebbb",nyaman licin mantebbb,positive
"Bulan lalu beli sepaket sama standnya..jadinya sampe lama ke Kupang NTT krn buru free ongkir wkwk. Kainnya emg tipe kasar di tangan, tapi justru cocok dipake green screen krn ga gampang robek n kotor.. Pake rekam video juga ngejreng, pas lah.. kalo beli sama standnya, jangan lupa beli jepitnya juga",beli paket standnyajadinya sampe kupang ntt krn buru free ongkir wkwk kain emg tipe kasar tangan cocok dipake green screen krn gampang robek kotor pake rekam video ngejreng pas beli standnya lupa beli jepit,positive
ko ga membantu dalam masalah jerawat .malah nambah banyak,ko bantu jerawat nambah,negative
"Overall memuaskan, layar bagus walau menurut saya IPSnya ga sebagus IPS TV, warna sudah bagus ga oversaturated, brightness sangat terang, buat di pakai dalam gelap tetap silau biar brightness udah 0. Layar bisa di putar, cm di kaki saja gampang kedorong, refresh rate terbukti cepat, buat fps sudah mantab. Kalau asa softwarenya mungkin lebih bagus lagi, jd setting ga perlu lewat tombol di belakang. Dpt kabel display port, desain keren hampir bezelless, nice.",overall muas layar bagus ipsnya bagus ips tv warna bagus oversaturated brightness terang pakai gelap silau biar brightness udah layar putar cm kaki gampang dorong refresh rate bukti cepat fps mantab asa softwarenya bagus jd setting tombol dpt kabel display port desain keren bezelless nice,positive
JANGAN BELANJA DITOKO INI !!! PENIPUAN !!! YG DIKIRIM BARANG MURAHAN DAN GAK MAU DIGANTI SELISIH HARGA !!!,belanja toko tipu kirim barang murah ganti selisih harga,negative
"Brang dtg warna nya sesuai pesanan, tp karatan, dan kotor",brang dtg warna sesuai pesan tp karat kotor,negative
Packing cm kresek tipis jd dus nya rusak gini. Kurang recomended cara packing aplg buat produk yg mudah rusak gini. Hadehh kecewa,packing cm kresek tipis jd dus rusak gin recomended packing aplg produk mudah rusak gin hadehh kecewa,negative
cantiik kertas kadonya... packaging ok dan delivery-nya juga OK. Mantab lah dan bakal langganan di toko ini,cantiik kertas kado packaging deliverynya mantab langgan toko,positive
kardus bekas dijual. itupun masih rusak susu nya,kardus bekas jual itu rusak susu,negative
"kardus gak dikirim, jadi hanya di packing pake plastik doank... sangat mengecewakan...",kardus kirim packing pake plastik doank kecewa,negative
mending ke toko lain..,mending toko,negative
maskernya agak kecil tdk sesuai harga..,masker tdk sesuai harga,negative
JELEKKKKK PUTUSS SEMUA TALINYA,jelekkkkk putuss tali,negative
"ada kesalahan di MC dan hardisknya. Gak bisa digunain jd nya PSnya.. masa gak ke isi game atau MC nya ngeblank. padahal belinya bkn dgn duit yg sdikit, dan harus beli kabel lagi karna salah kirim udah gt isi game sndri jadinya. Kecewaaaaa sumpah",salah mc hardisknya digunain jd psnya isi game mc ngeblank beli bkn duit sdikit beli kabel karna salah kirim udah gt isi game sndri kecewaaaaa sumpah,negative
tidak berfungsi. mau retur tapi berat di ongkir. mungkin kedepannya boleh di test terlebih dahulu sebelum kirim,fungsi retur berat ongkir depan test kirim,negative
"hati hati ada jebakan. be careful. judul dan deskripsi tertulis Dart Game Besar 17 isi paket : 1 buah papan Dart 17 INCH, kenyataannya, yg dikirim hanya ukuran 15 (15 INCH). be careful.",hati hati jebak be careful judul deskripsi tulis dart game 17 isi paket buah papan dart 17 inch nyata kirim ukur 15 15 inch be careful,negative
sudah dipasang & bagus deh....,pasang bagus deh,positive
Warnanya pekat. Penjualnya ramah banget. Desainnya lucu. Packaging aman ??. Packaging rapi. Respon penjualnya top. Proses pesanan cepat. Desainnya mewah. Aplikator mudah dipakai. Cocok di kulit kering. Cocok di kulit berminyak.,warna pekat jual ramah banget desain lucu packaging aman packaging rapi respon jual top proses pesan cepat desain mewah aplikator mudah pakai cocok kulit kering cocok kulit minyak,positive
udah di tes baterai compatibel ane pake DSLR 1100D,udah tes baterai compatibel ane pake dslr 1100d,positive
barang rusak kok dikirim,barang rusak kirim,negative
"packing rapi, barang sesuai deskripsi. mantep lah.",packing rapi barang sesuai deskripsi mantep,positive
Kecewa dengan kwalitasnya,kecewa kwalitasnya,negative
